GO_ID,n_genes,n_edges,density,n_components,largest_component,avg_degree,clustering,is_clique
"cd8-positive,_alpha-beta_cytotoxic_t_cell",1854,8172,0.004757438737497315,1,1854,8.815533980582524,0.1533539011573196,False
limbal_stem_cell,3203,25216,0.004917313815924054,1,3203,15.745238838588824,0.18205449291164977,False
nk_cell,1457,5504,0.005189045683211778,1,1457,7.555250514756349,0.1479543961977478,False
pancreatic_pp_cell,1397,6831,0.007005392234280171,1,1397,9.779527559055119,0.17863259975715703,False
transit_amplifying_cell_of_small_intestine,3031,33054,0.0071982255962316785,1,3031,21.810623556581987,0.24423665342341308,False
"naive_thymus-derived_cd4-positive,_alpha-beta_t_cell",1080,7872,0.013510452064668933,1,1080,14.577777777777778,0.21175190500302585,False
serous_cell_of_epithelium_of_bronchus,2954,24790,0.005683718816640113,1,2954,16.784021665538255,0.20119194429603274,False
limbal_stromal_cell,2747,12402,0.0032882325975155044,1,2747,9.029486712777576,0.14717251174136328,False
intestinal_crypt_stem_cell_of_large_intestine,1153,3034,0.004568396453695673,1,1153,5.262792714657415,0.11566534022097498,False
keratinocyte,3217,36520,0.007059820573848198,1,3217,22.704382965495803,0.2384755270430637,False
dn1_thymic_pro-t_cell,1597,10528,0.008261103604345867,1,1597,13.184721352536005,0.20142184580059788,False
ciliated_epithelial_cell,3078,28230,0.005961351940860348,1,3078,18.34307992202729,0.21133969702685448,False
hillock-club_cell_of_prostate_epithelium,2952,21315,0.00489361467657374,1,2952,14.441056910569106,0.19667073081061676,False
ciliary_body,3151,23451,0.004725332849737801,1,3151,14.88479847667407,0.1839340248600465,False
immature_natural_killer_cell,1578,6569,0.00527947290462631,1,1578,8.32572877059569,0.15122106904921256,False
myometrial_cell,2478,12569,0.004095466834017431,1,2478,10.14447134786118,0.1458877856715003,False
dendritic_cell,2048,12452,0.005940476917440156,1,2048,12.16015625,0.19024615020602903,False
acinar_cell_of_salivary_gland,2386,8694,0.0030555599487576903,1,2386,7.287510477787091,0.1477360330750116,False
pancreatic_alpha_cell,2247,9712,0.0038488044413427856,1,2247,8.644414775255896,0.1493213024689655,False
plasmacytoid_dendritic_cell,2545,18752,0.005792588748440029,1,2545,14.736345776031435,0.21108028413883212,False
