NormalizedSubject	TaxID	Source
Klebsiella pneumoniae WDCM00097	573.0	json
Labrenzia sp.. ac12		missing
Lacticaseibacillus rhamnosus VB4	47715.0	ena
Lactobacillus brevis TC50		missing
Lactobacillus pentosus BMOBR013		missing
Lactobacillus pentosus BMOBR061		missing
Lactobacillus plantarum RJ1		missing
Legionella micdadei tatlock	451.0	ena
Legionella pneumophila KS79	446.0	ena
Limosilactobacillus fermentum KGC1601	1613.0	ena
Listeria monocytogenes EGD-e	169963.0	ena
Listeria monocytogenes NCTC11994	1639.0	json
Listeria monocytogenes Scott A	1639.0	ena
Micrococcus luteus ATCC 9341	1270.0	ena
Morganella morganii UM573	582.0	ena
Morganella morganii UM869	582.0	ena
Mycobacterium abscessus ATCC 19977		missing
Mycobacterium abscessus BWH-C		missing
Mycobacterium abscessus CIP104536T		missing
Mycobacterium abscessus T49		missing
Mycobacterium bovis BCG Pasteur		missing
Mycobacterium bovis C02214		missing
Mycobacterium canettii C02321		missing
Mycobacterium tuberculosis 130667	1773.0	ena
Mycobacterium tuberculosis 130693	1773.0	ena
Mycobacterium tuberculosis 130760	1773.0	ena
Mycobacterium tuberculosis 131142	1773.0	ena
Mycobacterium tuberculosis 132108	1773.0	ena
Mycobacterium tuberculosis 2012 500139	1773.0	ena
Mycobacterium tuberculosis ATCC 27294	1773.0	json
Mycobacterium tuberculosis ATCC 35801	1773.0	ena
Mycobacterium tuberculosis ATCC 35822	1773.0	ena
Mycobacterium tuberculosis C00014838	1773.0	ena
Mycobacterium tuberculosis EC378	1773.0	ena
Mycobacterium tuberculosis FS304	1773.0	ena
Mycobacterium tuberculosis H37Ra	1773.0	ena
Mycobacterium tuberculosis H37Rv	1773.0	ena
Mycobacterium tuberculosis H37RvMa	1773.0	ena
Mycobacterium tuberculosis H417D mutant	1773.0	ena
Mycobacterium tuberculosis M00001	1773.0	ena
Mycobacterium tuberculosis M00003	1773.0	ena
Mycobacterium tuberculosis M00004	1773.0	ena
Mycobacterium tuberculosis M00005	1773.0	ena
Mycobacterium tuberculosis M00011	1773.0	ena
Mycobacterium tuberculosis M00017	1773.0	ena
Mycobacterium tuberculosis M00019	1773.0	ena
Mycobacterium tuberculosis M00020	1773.0	ena
Mycobacterium tuberculosis MD24	1773.0	ena
Mycobacterium tuberculosis MD52	1773.0	json
Mycobacterium tuberculosis MD54	1773.0	ena
Mycobacterium tuberculosis MD55	1773.0	json
Mycobacterium tuberculosis MD96	1773.0	ena
Mycobacterium tuberculosis MTTR11	1773.0	ena
Mycobacterium tuberculosis MTTR13	1773.0	ena
Mycobacterium tuberculosis MTTR14	1773.0	ena
Mycobacterium tuberculosis MTTR18	1773.0	ena
Mycobacterium tuberculosis MTTR19	1773.0	ena
Mycobacterium tuberculosis MTTR2	1773.0	ena
Mycobacterium tuberculosis MTTR28	1773.0	ena
Mycobacterium tuberculosis MTTR3	1773.0	ena
Mycobacterium tuberculosis MTTR5	1773.0	ena
Mycobacterium tuberculosis MTTR6	1773.0	ena
Mycobacterium tuberculosis MmpL3 F255L	1773.0	ena
Mycobacterium tuberculosis MmpL3 G253E	1773.0	ena
Mycobacterium tuberculosis MmpL3 Y252C	1773.0	ena
Mycobacterium tuberculosis MmpL3 Y252S	1773.0	ena
Mycobacterium tuberculosis N0008	1773.0	ena
Mycobacterium tuberculosis R1093	1773.0	ena
Mycobacterium tuberculosis R3027	1773.0	ena
