rplE rplU 0.99
rplE rplU 0.992
rplE rplU 0.995
rplE rplU 0.997
rplE rplU 0.998
rplE rplV 0.998
rplE rplV 0.999
rplE rplW 0.994
rplE rplW 0.996
rplE rplW 0.997
rplE rplW 0.999
rplE rplX 0.998
rplE rplX 0.999
rplE rpmE 0.94
rplE rpmE 0.961
rplE rpmE 0.991
rplE rpsC 0.998
rplE rpsC 0.999
rplE rpsD 0.997
rplE rpsD 0.998
rplE rpsD 0.999
rplE rpsE 0.998
rplE rpsE 0.999
rplE rpsG 0.997
rplE rpsG 0.998
rplE rpsG 0.999
rplE rpsH 0.999
rplE rpsK 0.998
rplE rpsK 0.999
rplE rpsL 0.994
rplE rpsL 0.996
rplE rpsL 0.997
rplE rpsL 0.998
rplE rpsL 0.999
rplE rpsM 0.998
rplE rpsM 0.999
rplE rpsN 0.994
rplE rpsN 0.996
rplE rpsN 0.998
rplE rpsN 0.999
rplE rpsO 0.989
rplE rpsO 0.99
rplE rpsO 0.991
rplE rpsO 0.993
rplE rpsO 0.994
rplE rpsO 0.997
rplE rpsO 0.998
rplE rpsQ 0.996
rplE rpsQ 0.998
rplE rpsQ 0.999
rplE rpsS 0.998
rplE rpsS 0.999
rplE smrB 0.608
rplE smrB 0.8
rplE typA 0.477
rplE typA 0.5
rplE typA 0.519
rplE vmlR 0.939
rplE yjgA 0.612
rplF rplI 0.986
rplF rplI 0.99
rplF rplI 0.991
rplF rplI 0.992
rplF rplI 0.997
rplF rplI 0.999
rplF rplJ 0.999
rplF rplO 0.998
rplF rplO 0.999
rplF rplP 0.999
rplF rplT 0.977
rplF rplT 0.98
rplF rplT 0.983
rplF rplT 0.984
rplF rplT 0.987
rplF rplT 0.988
rplF rplT 0.991
rplF rplT 0.996
rplF rplT 0.998
rplF rplT 0.999
rplF rplU 0.986
rplF rplU 0.988
rplF rplU 0.989
rplF rplU 0.99
rplF rplU 0.991
rplF rplU 0.993
rplF rplU 0.997
rplF rplU 0.998
rplF rplU 0.999
rplF rplV 0.998
rplF rplV 0.999
rplF rplW 0.997
rplF rplW 0.998
rplF rplW 0.999
rplF rplX 0.998
rplF rplX 0.999
rplF rpmE 0.901
rplF rpmE 0.922
rplF rpmE 0.955
rplF rpmE 0.974
rplF rpsC 0.997
rplF rpsC 0.998
rplF rpsC 0.999
rplF rpsD 0.995
rplF rpsD 0.996
rplF rpsD 0.997
rplF rpsD 0.998
rplF rpsD 0.999
rplF rpsE 0.999
rplF rpsG 0.99
rplF rpsG 0.992
rplF rpsG 0.994
rplF rpsG 0.995
rplF rpsG 0.998
rplF rpsG 0.999
rplF rpsH 0.999
rplF rpsK 0.995
rplF rpsK 0.997
rplF rpsK 0.998
rplF rpsK 0.999
rplF rpsL 0.995
rplF rpsL 0.996
rplF rpsL 0.998
rplF rpsL 0.999
rplF rpsM 0.998
rplF rpsM 0.999
rplF rpsN 0.992
rplF rpsN 0.996
rplF rpsN 0.997
rplF rpsN 0.998
rplF rpsN 0.999
rplF rpsO 0.99
rplF rpsO 0.992
rplF rpsO 0.993
rplF rpsO 0.994
rplF rpsO 0.996
rplF rpsO 0.997
rplF rpsO 0.998
rplF rpsQ 0.996
rplF rpsQ 0.997
