NormalizedSubject	TaxID	Status
Mycobacterium tuberculosis SAWC1125	1773.0	ok
Mycobacterium tuberculosis SAWC2371	1773.0	ok
Mycobacterium tuberculosis SAWC3200	1773.0	ok
Mycobacterium tuberculosis SAWC3385	1773.0	ok
Mycobacterium tuberculosis SAWC3388	1773.0	ok
Mycobacterium tuberculosis SAWC3933	1773.0	ok
Mycobacterium tuberculosis SAWC4046	1773.0	ok
Mycobacterium tuberculosis SAWC4083	1773.0	ok
Mycobacterium tuberculosis W91R mutant	1773.0	ok
Neisseria gonorrhoeae A7536	485.0	ok
Neisseria gonorrhoeae A7846	485.0	ok
Neisseria gonorrhoeae A8806	485.0	ok
Neisseria gonorrhoeae ALB0403	485.0	ok
Neisseria gonorrhoeae FC428	485.0	ok
Neisseria gonorrhoeae FC460	485.0	ok
Neisseria gonorrhoeae GCGS0104	485.0	ok
Neisseria gonorrhoeae GCGS0165	485.0	ok
Neisseria gonorrhoeae GCGS0205	485.0	ok
Neisseria gonorrhoeae GCGS0227	485.0	ok
Neisseria gonorrhoeae GCGS0229	485.0	ok
Neisseria gonorrhoeae GCGS0241	485.0	ok
Neisseria gonorrhoeae GCGS0822	485.0	ok
Neisseria gonorrhoeae GCGS0837	485.0	ok
Neisseria gonorrhoeae GCGS0862	485.0	ok
Neisseria gonorrhoeae GCGS0863	485.0	ok
Neisseria gonorrhoeae GCGS0864	485.0	ok
Neisseria gonorrhoeae GCGS0885	485.0	ok
Neisseria gonorrhoeae GCGS0886	485.0	ok
Neisseria gonorrhoeae GCGS0933	485.0	ok
Neisseria gonorrhoeae GCGS0949	485.0	ok
Neisseria gonorrhoeae GCGS0985	485.0	ok
Neisseria gonorrhoeae GCGS0999	485.0	ok
Neisseria gonorrhoeae GCGS1016	485.0	ok
Neisseria gonorrhoeae GCGS126	485.0	ok
Neisseria gonorrhoeae GK124	485.0	ok
Neisseria gonorrhoeae H041	485.0	ok
Neisseria gonorrhoeae MUNG19	485.0	ok
Neisseria gonorrhoeae NGPT03002	485.0	ok
Neisseria gonorrhoeae NGPT03003	485.0	ok
Neisseria gonorrhoeae NGPT03004	485.0	ok
Neisseria gonorrhoeae NGPT03005	485.0	ok
Neisseria gonorrhoeae NGPT03006	485.0	ok
Neisseria gonorrhoeae NGPT03007	485.0	ok
Neisseria gonorrhoeae NGPT03009	485.0	ok
Neisseria gonorrhoeae NGPT03010	485.0	ok
Neisseria gonorrhoeae NGPT03011	485.0	ok
Neisseria gonorrhoeae NGPT03012	485.0	ok
Neisseria gonorrhoeae NGPT03013	485.0	ok
